ndvi,rainfall_mm,temperature_c,solar_radiation,land_area_ha,crop_type,harvest_days,yield_ton_per_ha,risk_level,provinsi,tahun,data_source,ndvi_source,produksi_ton,luas_panen_ha
0.72,150.0,27.0,185.0,2.0,padi,110,9.081,low,ACEH,2021,default_fallback,seasonal_estimate,1634639.6,180000.0
0.72,150.0,27.0,185.0,2.0,padi,110,4.555,low,SUMATERA UTARA,2021,default_fallback,seasonal_estimate,2004142.51,440000.0
0.72,150.0,27.0,185.0,2.0,padi,110,6.272,low,SUMATERA BARAT,2021,default_fallback,seasonal_estimate,1317209.38,210000.0
0.72,150.0,27.0,185.0,2.0,padi,110,3.954,medium,RIAU,2021,default_fallback,seasonal_estimate,217458.87,55000.0
0.72,150.0,27.0,185.0,2.0,padi,110,4.587,low,JAMBI,2021,default_fallback,seasonal_estimate,298149.25,65000.0
0.72,150.0,27.0,185.0,2.0,padi,110,4.816,low,SUMATERA SELATAN,2021,default_fallback,seasonal_estimate,2552443.19,530000.0
0.72,150.0,27.0,185.0,2.0,padi,110,3.19,high,BENGKULU,2021,default_fallback,seasonal_estimate,271117.19,85000.0
0.72,150.0,27.0,185.0,2.0,padi,110,7.31,low,LAMPUNG,2021,default_fallback,seasonal_estimate,2485452.78,340000.0
0.72,150.0,27.0,185.0,2.0,padi,110,0.352,high,KEPULAUAN BANGKA BELITUNG,2021,default_fallback,seasonal_estimate,70496.25,200000.0
0.72,150.0,27.0,185.0,2.0,padi,110,0.004,high,KEPULAUAN RIAU,2021,default_fallback,seasonal_estimate,855.01,200000.0
0.77,150.0,27.0,185.0,2.0,padi,110,0.016,high,DAERAH KHUSUS IBUKOTA JAKARTA,2021,default_fallback,seasonal_estimate,3249.47,200000.0
0.77,150.0,27.0,185.0,2.0,padi,110,10.475,low,JAWA BARAT,2021,default_fallback,seasonal_estimate,9113574.0,870000.0
0.77,150.0,27.0,185.0,2.0,padi,110,10.125,low,JAWA TENGAH,2021,default_fallback,seasonal_estimate,9618656.81,950000.0
0.77,150.0,27.0,185.0,2.0,padi,110,9.276,low,DAERAH ISTIMEWA YOGYAKARTA,2021,default_fallback,seasonal_estimate,556531.03,60000.0
0.77,150.0,27.0,185.0,2.0,padi,110,5.439,low,JAWA TIMUR,2021,default_fallback,seasonal_estimate,9789587.67,1800000.0
0.77,150.0,27.0,185.0,2.0,padi,110,9.717,low,BANTEN,2021,default_fallback,seasonal_estimate,1603247.0,165000.0
0.77,150.0,27.0,185.0,2.0,padi,110,7.736,low,BALI,2021,default_fallback,seasonal_estimate,618910.81,80000.0
0.72,150.0,27.0,185.0,2.0,padi,110,5.915,low,NUSA TENGGARA BARAT,2021,default_fallback,seasonal_estimate,1419559.84,240000.0
